seqname,tax_id
HYM24351.1_cupredoxin_domain-containing_protein__Vicinamibacterales_bacterium_,cladeI
HXX74311.1_cupredoxin_domain-containing_protein__Vicinamibacterales_bacterium_,cladeI
MXX6398751.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium_,cladeI
MDX6058227.1_nitrous-oxide_reductase__Verrucomicrobiales_bacterium_,cladeI
HTL16833.1_cupredoxin_domain-containing_protein__Patescibacteria_group_bacterium_,cladeI
HEX5070974.1_TAT-dependent_nitrous-oxide_reductase__Verrucomicrobiae_bacterium_,cladeI
HEX5125079.1_TAT-dependent_nitrous-oxide_reductase__Verrucomicrobiae_bacterium_,cladeI
HYT61461.1_hypothetical_protein__Haliangiales_bacterium_,cladeI
HET7625900.1_TAT-dependent_nitrous-oxide_reductase__Verrucomicrobiae_bacterium_,cladeI
HYG21368.1_cupredoxin_domain-containing_protein__Verrucomicrobiae_bacterium_,cladeI
HHY85391.1_TAT-dependent_nitrous-oxide_reductase__Verrucomicrobiota_bacterium__HXX31512.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium__HXP98293.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium_,cladeI
HPX57725.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium_,cladeI
HPY29285.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium__HQX15142.1_cupredoxin_domain-containing_protein__Verrucomicrobiota_bacterium_,cladeI
XQX91579.1_MAG__Nitrous-oxide_reductase_precursor__Verrucomicrobia_bacterium_ADurb.Xin118_,cladeI
WP_227230299.1_TAT-dependent_nitrous-oxide_reductase__Salinirubrum_litoreum_,cladeI
WP_237007023.1_MXLTISPECIES__TAT-dependent_nitrous-oxide_reductase__Halobacterium__MDH5020625.1_TAT-dependent_nitrous-oxide_reductase__Halobacterium_rubrum__MDH5020654.1_TAT-dependent_nitrous-oxide_reductase__Halobacterium_rubrum_,cladeI
WP_247373907.1_TAT-dependent_nitrous-oxide_reductase__Halorientalis_brevis_,cladeI
haer_DX502_11485_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
WP_181693095.1_TAT-dependent_nitrous-oxide_reductase__Natronomonas_sp._LN261_,cladeI
1758255.GCA_001542905_01898,cladeI
XYR59355.1_nitrous-oxide_reductase__Halorubrum_halodurans_,cladeI
WP_149784372.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_aquaticum__SFH55081.1_nitrous_oxide_reductase_apoprotein__Halorubrum_aquaticum_,cladeI
WP_185955693.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_cibi__SMX53237.1_nitrous_oxide_reductase_apoprotein__Halorubrum_cibi_,cladeI
WP_122104915.1_TAT-dependent_nitrous-oxide_reductase__Halobellus_captivus_,cladeI
WP_281193788.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._F4_,cladeI
WP_322532841.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._AD140__MDX5812572.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._AD140_,cladeI
tr|X9LN21|X9LN21_HALLT,cladeI
WP_280587813.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._Xoch-26_,cladeI
WP_123624075.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._CSM-61_,cladeI
WP_200531531.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._LN27_,cladeI
WP_095636047.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_salipaludis__PAX84776.1_nitrous-oxide_reductase__Halorubrum_salipaludis_,cladeI
WP_128905584.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_amylolyticum_,cladeI
WP_144921041.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_salsamenti_,cladeI
1227484.C471_15612,cladeI
WP_144799095.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_depositum_,cladeI
WP_094524025.1_MXLTISPECIES__TAT-dependent_nitrous-oxide_reductase__unclassified_Halorubrum_,cladeI
XYR39105.1_nitrous-oxide_reductase__Halorubrum_sp._Ib24_,cladeI
WP_226013481.1_TAT-dependent_nitrous-oxide_reductase__Halomicrobium_salinisoli_,cladeI
WP_226023853.1_TAT-dependent_nitrous-oxide_reductase__Halomicrobium_salinisoli_,cladeI
MCX4801917.1_TAT-dependent_nitrous-oxide_reductase__Halobacteria_archaeon_HArc-gm2_,cladeI
767519.SAMN05216559_0022,cladeI
nho_HWV23_07915_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
nsal_HWV07_19205_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
WP_178915307.1_TAT-dependent_nitrous-oxide_reductase__Natronomonas_gomsonensis_,cladeI
WP_156708389.1_TAT-dependent_nitrous-oxide_reductase__Natronomonas_sp._CXA1123__MXV86243.1_nitrous-oxide_reductase__Natronomonas_sp._CXA1123_,cladeI
WP_254858445.1_TAT-dependent_nitrous-oxide_reductase__Natronomonas_gomsonensis__MCY4731335.1_nitrous-oxide_reductase__Natronomonas_gomsonensis_,cladeI
WP_138005060.1_TAT-dependent_nitrous-oxide_reductase__Halalkalirubrum_salinum_,cladeI
WP_159486514.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._XWXQ-INN_858__MWV65376.1_nitrous-oxide_reductase__Halorubrum_sp._XWXQ-INN_858_,cladeI
halq_Hrr1229_000430_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
1230454.C461_03542,cladeI
1227482.C469_09866,cladeI
WP_156589354.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._CXA1125__MXW15669.1_nitrous-oxide_reductase__Halorubrum_sp._CXA1125_,cladeI
WP_137783557.1_MXLTISPECIES__TAT-dependent_nitrous-oxide_reductase__Halorubrum__TKX78542.1_nitrous-oxide_reductase__Halorubrum_sp._SD626R_,cladeI
WP_256417684.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_laminariae_,cladeI
WP_137687393.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._GN11_10-6_MGM__TKX75227.1_nitrous-oxide_reductase__Halorubrum_sp._GN11_10-6_MGM_,cladeI
WP_121598319.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._Atlit-26R__RLM62640.1_nitrous-oxide_reductase__Halorubrum_sp._Atlit-26R_,cladeI
WP_149799001.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_xinjiangense__SDF77742.1_nitrous-oxide_reductase__Halorubrum_xinjiangense_,cladeI
XYR59061.1_nitrous-oxide_reductase__Halorubrum_sp._E3__XYR85721.1_nitrous-oxide_reductase__Halorubrum_distributum_,cladeI
WP_004595978.1_MXLTISPECIES__TAT-dependent_nitrous-oxide_reductase__Halorubrum_distributum_group__ELX36407.1_nitrous-oxide_reductase__Halorubrum_terrestre_XCM_10247__ELX51400.1_nitrous-oxide_reductase__Halorubrum_distributum_XCM_9100__ELX53112.1_nitrous-,cladeI
1230455.C462_02919,cladeI
WP_209543672.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_trapanicum__MXP1900716.1_nitrous-oxide_reductase__Halorubrum_trapanicum_,cladeI
1227481.C467_14769,cladeI
CDK38891.1_nitrous-oxide_reductase__Halorubrum_sp._AX67_,cladeI
WP_283404055.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._DM2__VTT88258.1_Nitrous-oxide_reductase__Halorubrum_sp._DM2_,cladeI
WP_096393468.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_trapanicum_,cladeI
35743.SAMN04487937_2275,cladeI
WP_121599330.1_MXLTISPECIES__TAT-dependent_nitrous-oxide_reductase__unclassified_Halorubrum__RLM51501.1_nitrous-oxide_reductase__Halorubrum_sp._Atlit-28R__TKX46098.1_nitrous-oxide_reductase__Halorubrum_sp._ARQ200_,cladeI
WP_137711067.1_TAT-dependent_nitrous-oxide_reductase__Halorubrum_sp._ASP1__TKX61569.1_nitrous-oxide_reductase__Halorubrum_sp._ASP1_,cladeI
hsai_HPS36_14750_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
MCX4973628.1_TAT-dependent_nitrous-oxide_reductase__Halobacteria_archaeon_AArc-m2/3/4_,cladeI
1095776.SAMN04515672_3118,cladeI
WP_255171573.1_TAT-dependent_nitrous-oxide_reductase__Natrononativus_amylolyticus_,cladeI
MCX4753645.1_TAT-dependent_nitrous-oxide_reductase__Halobacteria_archaeon_AArc-curdl1_,cladeI
WP_252699953.1_TAT-dependent_nitrous-oxide_reductase__Natribaculum_sp._CGA3_,cladeI
WP_124190222.1_TAT-dependent_nitrous-oxide_reductase__Natrarchaeobius_chitinivorans__RQH02495.1_nitrous-oxide_reductase__Natrarchaeobius_chitinivorans_,cladeI
WP_148860114.1_TAT-dependent_nitrous-oxide_reductase__Natronococcus_pandeyae__TYL36464.1_nitrous-oxide_reductase__Natronococcus_pandeyae_,cladeI
1227454.C446_04695,cladeI
tr|L0K690|L0K690_9EXRY,cladeI
WP_049891949.1_TAT-dependent_nitrous-oxide_reductase__Natronococcus_amylolyticus_,cladeI
WP_278303838.1_TAT-dependent_nitrous-oxide_reductase__Natronococcus_sp._A-GX7__MDG5820535.1_TAT-dependent_nitrous-oxide_reductase__Natronococcus_sp._A-GX7_,cladeI
WP_124197086.1_TAT-dependent_nitrous-oxide_reductase__Natrarchaeobius_chitinivorans__RQG91813.1_nitrous-oxide_reductase__Natrarchaeobius_chitinivorans_,cladeI
1095778.SAMN04489842_0086,cladeI
WP_165160713.1_TAT-dependent_nitrous-oxide_reductase__Natronolimnobius_sp._AArcel1__NGM68378.1_nitrous-oxide_reductase__Natronolimnobius_sp._AArcel1_,cladeI
WP_087715262.1_TAT-dependent_nitrous-oxide_reductase__Natronolimnobius_baerhuensis__XVE83823.1_nitrous-oxide_reductase__Natronolimnobius_baerhuensis_,cladeI
1869245.XXD46_05620,cladeI
1227493.C483_09359,cladeI
WP_276254833.1_TAT-dependent_nitrous-oxide_reductase__Halovivax_sp._TS33_,cladeI
WP_254765992.1_TAT-dependent_nitrous-oxide_reductase__Salinilacihabitans_rarus_,cladeI
WP_089784324.1_TAT-dependent_nitrous-oxide_reductase__Halobiforma_haloterrestris__SFX67452.1_nitrous_oxide_reductase_apoprotein__Halobiforma_haloterrestris_,cladeI
WP_007142044.1_TAT-dependent_nitrous-oxide_reductase__Halobiforma_lacisalsi_,cladeI
WP_120245395.1_TAT-dependent_nitrous-oxide_reductase__Halopiger_aswanensis__RKD93370.1_nitrous_oxide_reductase_apoprotein__Halopiger_aswanensis_,cladeI
tr|F8D541|F8D541_HALXS,cladeI
1293048.GCA_000455345_03294,cladeI
1293047.GCA_000455365_01386,cladeI
WP_167936852.1_TAT-dependent_nitrous-oxide_reductase__Natronococcus_sp._XC468__NKE35307.1_nitrous-oxide_reductase__Natronococcus_sp._XC468_,cladeI
1227498.C492_10510,cladeI
WP_265109725.1_TAT-dependent_nitrous-oxide_reductase__Halosolutus_halophilus_,cladeI
WP_250139316.1_TAT-dependent_nitrous-oxide_reductase__Halosolutus_amylolyticus_,cladeI
WP_160066035.1_TAT-dependent_nitrous-oxide_reductase__Natronorubrum_halalkaliphilum__MXV63208.1_nitrous-oxide_reductase__Natronorubrum_halalkaliphilum_,cladeI
WP_129114056.1_TAT-dependent_nitrous-oxide_reductase__Halegenticoccus_tardaugens_,cladeI
WP_247729953.1_TAT-dependent_nitrous-oxide_reductase__Halovivax_limisalsi_,cladeI
nas_GCX68_19710_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
1186196.SAMN04489841_2849,cladeI
WP_130170114.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_altunense__RXH69230.1_nitrous-oxide_reductase__Natrinema_altunense_,cladeI
222984.GCA_000731985_03165,cladeI
WP_226005195.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_salinisoli_,cladeI
WP_277523711.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_salsiterrestre__MDF9747585.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_salsiterrestre_,cladeI
WP_226482596.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_amylolyticum_,cladeI
hlo_X0X27_10520_K00376_nitrous-oxide_reductase__EC_1.7.2.4__|__GenXank__nitrous-oxide_reductase__A_,cladeI
WP_245853028.1_TAT-dependent_nitrous-oxide_reductase__Natrinema_ejinorense_,cladeI
MCY0885974.1_TAT-dependent_nitrous-oxide_reductase__Xacillota_bacterium_,cladeI
HEC24667.1_TAT-dependent_nitrous-oxide_reductase__bacterium_,cladeI
MCL4498085.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MCL5892582.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
RXD15452.1_MAG__TAT-dependent_nitrous-oxide_reductase__Candidatus_Acidulodesulfobacterium_ferriphilum_,cladeI
MCL4427453.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCL4321607.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MCL5879956.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MDA8304357.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MDH3974679.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MDT8318026.1_TAT-dependent_nitrous-oxide_reductase__bacterium_,cladeI
HKX00300.1_TAT-dependent_nitrous-oxide_reductase__bacterium_,cladeI
MXW2691085.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCF6280819.1_nitrous-oxide_reductase__Candidatus_Polarisedimenticolaceae_bacterium_,cladeI
MCF6355788.1_nitrous-oxide_reductase__Candidatus_Polarisedimenticolaceae_bacterium_,cladeI
MXT4837502.1_nitrous-oxide_reductase__Methylococcales_bacterium__MXT7409421.1_nitrous-oxide_reductase__Methylococcales_bacterium_,cladeI
MDH5435228.1_TAT-dependent_nitrous-oxide_reductase__Gammaproteobacteria_bacterium_,cladeI
MDH5191268.1_TAT-dependent_nitrous-oxide_reductase__Gammaproteobacteria_bacterium__MDH5593919.1_TAT-dependent_nitrous-oxide_reductase__Gammaproteobacteria_bacterium_,cladeI
MDH5229805.1_TAT-dependent_nitrous-oxide_reductase__Gammaproteobacteria_bacterium_,cladeI
NKX67084.1_nitrous-oxide_reductase__Candidatus_Latescibacterota_bacterium_,cladeI
MXX06732.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MDP7361712.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Latescibacterota_bacterium__HCV23628.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Latescibacterota_bacterium__HXN30912.1_,cladeI
MXT4099183.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MXT4608529.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MXT5059420.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MXT5146508.1_nitrous-oxide_reductase__Gemmatimonadota_bacte,cladeI
MXQ37176.1_nitrous-oxide_reductase__Gemmatimonadaceae_bacterium__MDP6016035.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Latescibacterota_bacterium__MDP7448440.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Latescibacterota_bacterium__HXP3055,cladeI
MXT3346526.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MXT6143974.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium__MXT7859252.1_nitrous-oxide_reductase__Gemmatimonadota_bacterium_,cladeI
MCX7117904.1_TAT-dependent_nitrous-oxide_reductase__Legionellales_bacterium_,cladeI
MCP4243783.1_nitrous-oxide_reductase__bacterium_,cladeI
MXT39690.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
QQG46853.1_MAG__nitrous-oxide_reductase__Gammaproteobacteria_bacterium_,cladeI
MDP2763066.1_TAT-dependent_nitrous-oxide_reductase__Enterobacteriaceae_bacterium_,cladeI
MCX1711840.1_nitrous-oxide_reductase__Candidatus_Riesia_sp._,cladeI
MCX0476390.1_TAT-dependent_nitrous-oxide_reductase__Flavobacteriaceae_bacterium_,cladeI
WP_176604983.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Azoamicus_ciliaticola_,cladeI
MCK6510566.1_nitrous-oxide_reductase__Myxococcota_bacterium_,cladeI
MCX9738703.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXK6849119.1_nitrous-oxide_reductase__Pseudomonadota_bacterium_,cladeI
MCK6553765.1_nitrous-oxide_reductase__Candidatus_Xinatia_bacterium_,cladeI
MXX3125444.1_nitrous-oxide_reductase__Polyangiaceae_bacterium_,cladeI
HMR09950.1_TAT-dependent_nitrous-oxide_reductase__Polyangiaceae_bacterium_,cladeI
MDH5491685.1_TAT-dependent_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
NXY92496.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
RLX52331.1_MAG__TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCA9605268.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MXX7190607.1_nitrous-oxide_reductase__Sandaracinaceae_bacterium_,cladeI
MXX3249019.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MCX0674578.1_TAT-dependent_nitrous-oxide_reductase__Myxococcota_bacterium_,cladeI
MCX9602492.1_nitrous-oxide_reductase__Sandaracinus_sp.__MCX9615940.1_nitrous-oxide_reductase__Sandaracinus_sp.__MCX9622869.1_nitrous-oxide_reductase__Sandaracinus_sp.__MCX9635263.1_nitrous-oxide_reductase__Sandaracinus_sp._,cladeI
MCP4444409.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MCP4446526.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MXW2313315.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MXW2444696.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXW2286830.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MXW2666608.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
HIF92551.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MXW1883974.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXW2268993.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium__MXW2359364.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXW2697699.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXW2384815.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXW2231559.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCF6282471.1_nitrous-oxide_reductase__Candidatus_Polarisedimenticolaceae_bacterium_,cladeI
MCP4296741.1_nitrous-oxide_reductase__Pseudomonadota_bacterium_,cladeI
MCP3674244.1_nitrous-oxide_reductase__Gammaproteobacteria_bacterium_,cladeI
NXY24333.1_nitrous-oxide_reductase__Xligoflexia_bacterium_,cladeI
MCX4773852.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCK6503562.1_nitrous-oxide_reductase__Myxococcota_bacterium_,cladeI
MXW2258571.1_TAT-dependent_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCP4804296.1_nitrous-oxide_reductase__Pseudomonadota_bacterium_,cladeI
MCA9599484.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MCA9632039.1_TAT-dependent_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MXT6492509.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCP4498835.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCF6311207.1_nitrous-oxide_reductase__Verrucomicrobiales_bacterium_,cladeI
MXT8037202.1_nitrous-oxide_reductase__Verrucomicrobiae_bacterium__NNX41811.1_nitrous-oxide_reductase__Akkermansiaceae_bacterium_,cladeI
WP_237380149.1_TAT-dependent_nitrous-oxide_reductase__Sulfidibacter_corallicola_,cladeI
MCX4761366.1_nitrous-oxide_reductase__Myxococcales_bacterium_,cladeI
MCX9556600.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCX9557332.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MXI4514799.1_nitrous-oxide_reductase__Deltaproteobacteria_bacterium_,cladeI
MCP4202211.1_nitrous-oxide_reductase__bacterium_,cladeI
1805279.AXK30_08245,cladeI
HXX17148.1_TAT-dependent_nitrous-oxide_reductase__Vicinamibacterales_bacterium_,cladeI
MXX24165.1_nitrous-oxide_reductase__Acidobacteriota_bacterium__MDP7471327.1_TAT-dependent_nitrous-oxide_reductase__Vicinamibacterales_bacterium__MDP7670746.1_TAT-dependent_nitrous-oxide_reductase__Vicinamibacterales_bacterium__HXX38971.1_TAT-dependent_ni,cladeI
MAG72062.1_nitrous-oxide_reductase__Acidobacteriota_bacterium__HAK55886.1_nitrous-oxide_reductase__Acidobacteriota_bacterium_,cladeI
HHX64129.1_nitrous-oxide_reductase__Aquifex_aeolicus_,cladeI
MXI3393201.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
1801708.A2V83_11410,cladeI
NXY64496.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
HHN64196.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
HXH62169.1_TAT-dependent_nitrous-oxide_reductase__Nitrospiraceae_bacterium_,cladeI
MXI4687634.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
MCL4456304.1_TAT-dependent_nitrous-oxide_reductase__Nitrospirota_bacterium__MCL5977250.1_TAT-dependent_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
RXQ47930.1_MAG__nitrous-oxide_reductase__Nitrospiraceae_bacterium_,cladeI
MXI4848548.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
MXF0473991.1_nitrous-oxide_reductase__Nitrospirota_bacterium__MXF0542335.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
QWR76357.1_nitrous-oxide_reductase__Nitrospirales_bacterium_LXX_01_,cladeI
MXF0464143.1_nitrous-oxide_reductase__Nitrospirota_bacterium__MXF0534644.1_nitrous-oxide_reductase__Nitrospirota_bacterium__MXF0616312.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
MXF0520818.1_cupredoxin_domain-containing_protein__Nitrospirota_bacterium_,cladeI
MXF0487454.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
MCG6552891.1_nitrous-oxide_reductase__Candidatus_Magnetominusculus_sp._LXX02_,cladeI
MXF0318449.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
1748249.ASN18_3161,cladeI
MXF0343355.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
1455061.GCA_000714715_02260,cladeI
KXX81867.1_nitrous-oxide_reductase__Candidatus_Magnetobacterium_bavaricum_,cladeI
MXF0609358.1_nitrous-oxide_reductase__Nitrospirota_bacterium_,cladeI
MXV6342549.1_nitrous-oxide_reductase__Candidatus_Magnetobacterium_casensis_,cladeI
MCL2657527.1_TAT-dependent_nitrous-oxide_reductase__Xetaproteobacteria_bacterium_,cladeI
WP_184037853.1_TAT-dependent_nitrous-oxide_reductase__Chitinivorax_tropicus__MXX5018493.1_nitrous-oxide_reductase__Chitinivorax_tropicus_,cladeI
WP_189354806.1_TAT-dependent_nitrous-oxide_reductase__Vogesella_fluminis__GHD81908.1_TAT-dependent_nitrous-oxide_reductase__Vogesella_fluminis_,cladeI
WP_088860682.1_TAT-dependent_nitrous-oxide_reductase__Laribacter_hongkongensis__ASX24341.1_TAT-dependent_nitrous-oxide_reductase__Laribacter_hongkongensis__MCG9042052.1_nitrous-oxide_reductase__Laribacter_hongkongensis__MCG9069232.1_nitrous-oxide_reducta,cladeI
WP_239898599.1_TAT-dependent_nitrous-oxide_reductase__Laribacter_hongkongensis__MCG9083895.1_nitrous-oxide_reductase__Laribacter_hongkongensis_,cladeI
1122240.GCA_000620105_03730,cladeI
WP_107889046.1_TAT-dependent_nitrous-oxide_reductase__Microvirgula_aerodenitrificans_,cladeI
WP_107889654.1_TAT-dependent_nitrous-oxide_reductase__Microvirgula_aerodenitrificans_,cladeI
MDR1075391.1_nitrous-oxide_reductase__Xanthomonadaceae_bacterium_,cladeI
WP_233264167.1_TAT-dependent_nitrous-oxide_reductase__Lysobacter_panacisoli_,cladeI
WP_324903419.1_TAT-dependent_nitrous-oxide_reductase__Lysobacter_sp.__HXX76145.1_TAT-dependent_nitrous-oxide_reductase__Lysobacter_sp._,cladeI
WP_295377496.1_TAT-dependent_nitrous-oxide_reductase__Pseudoxanthomonas_sp._,cladeI
MCL6713832.1_TAT-dependent_nitrous-oxide_reductase__Pseudomonas_sp._R2.Fl_,cladeI
ASR44209.1_nitrous-oxide_reductase__Xanthomonas_citri_pv._mangiferaeindicae_,cladeI
MXD9367124.1_nitrous-oxide_reductase__Xanthomonas_sp._XNM01_,cladeI
